article_id,published_date,title,summary,source,url,scope,region_id,category,ai_category,ai_scope,ai_sentiment,ai_confidence,impact_score
art-202303-0012,2023-03-07,Koridor TransJakarta Baru ke Pulogebang Beroperasi,Rute BRT baru menghubungkan Terminal Pulogebang langsung ke Kampung Melayu.,Detik Finance,https://example.com/news/art-202303-0012,regional,Jakarta Timur,infrastructure,infrastructure,regional,positive,high,0.045
art-202303-0013,2023-03-06,Ratusan Rumah Terendam Banjir di Penjaringan,"Intensitas hujan tinggi mengakibatkan banjir setinggi 50 cm di Penjaringan, Jakarta Utara.",Jakarta Post,https://example.com/news/art-202303-0013,local,Jakarta Utara,disaster,disaster,local,negative,high,-0.05
art-202303-0014,2023-03-30,RS Internasional Baru Dibangun di Kelapa Gading,Rumah sakit berstandar internasional dengan 300 bed akan dibangun di kawasan Kelapa Gading.,Detik Finance,https://example.com/news/art-202303-0014,local,Jakarta Utara,development,development,local,positive,high,0.03
art-202304-0015,2023-04-22,Pemulihan Ekonomi Lebih Lambat dari Prediksi,Data ekonomi kuartal pertama menunjukkan pemulihan yang lebih lamban dari ekspektasi pasar.,Bisnis Indonesia,https://example.com/news/art-202304-0015,national,,economy,economy,national,negative,high,-0.05
art-202304-0016,2023-04-25,Penjualan Properti Baru Turun 20% Year-on-Year,Pengembang melaporkan penurunan signifikan dalam penjualan unit baru.,Detik Finance,https://example.com/news/art-202304-0016,national,,market,market,national,negative,high,-0.05
art-202304-0017,2023-04-08,Harga Rumah Bekas Ikut Terkoreksi,Pasar properti sekunder juga mengalami tekanan harga yang signifikan.,Kontan,https://example.com/news/art-202304-0017,national,,market,market,national,negative,high,-0.05
art-202304-0018,2023-04-19,Permintaan Ekspat Dorong Harga Sewa di Senayan,Komunitas ekspatriat yang berkembang mendorong kenaikan harga sewa di kawasan premium Jakarta Selatan.,Tribun News,https://example.com/news/art-202304-0018,local,Jakarta Selatan,market,market,local,positive,high,0.02
art-202304-0019,2023-04-05,Superblok Baru Direncanakan di Dekat Monas,Proyek pengembangan mixed-use berskala besar diumumkan untuk area sekitar Monas.,Jakarta Post,https://example.com/news/art-202304-0019,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202304-0020,2023-04-29,Revitalisasi Pasar Tanah Abang Dimulai,Proyek modernisasi pasar terbesar di Asia Tenggara resmi dimulai.,Bisnis Indonesia,https://example.com/news/art-202304-0020,regional,Jakarta Pusat,development,development,local,positive,high,0.03
art-202304-0021,2023-04-03,Data Center Hyperscale Dibangun di Kawasan Industri Barat,Perusahaan teknologi global membangun data center berskala besar di Jakarta Barat.,Bisnis Indonesia,https://example.com/news/art-202304-0021,local,Jakarta Barat,development,development,local,positive,high,0.03
art-202304-0022,2023-04-22,SPAM Baru Sediakan Air Bersih untuk 20.000 KK di Kalideres,Sistem penyediaan air minum baru menjangkau ribuan rumah tangga di Kalideres.,Kompas.com,https://example.com/news/art-202304-0022,local,Jakarta Barat,infrastructure,infrastructure,local,positive,high,0.03
art-202304-0023,2023-04-18,Waduk Retensi Baru di Cipinang Selesai Dibangun,Waduk baru berkapasitas 1 juta meter kubik mengurangi risiko banjir di Jakarta Timur.,Detik Finance,https://example.com/news/art-202304-0023,local,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202304-0024,2023-04-25,Sistem Drainase Baru untuk Kawasan Pesisir Utara,Proyek perbaikan drainase senilai Rp 500 miliar dimulai untuk mengatasi banjir tahunan.,Kontan,https://example.com/news/art-202304-0024,local,Jakarta Utara,infrastructure,infrastructure,local,positive,high,0.03
art-202305-0025,2023-05-14,Volume Transaksi Properti Turun 15% Tahunan,Data BPS menunjukkan penurunan volume transaksi properti dibandingkan tahun lalu.,Kompas.com,https://example.com/news/art-202305-0025,national,,market,market,national,negative,high,-0.05
art-202305-0026,2023-05-01,Daya Beli Masyarakat untuk Properti Menurun,Survei menunjukkan penurunan kemampuan masyarakat membeli rumah.,Kompas.com,https://example.com/news/art-202305-0026,national,,economy,market,national,negative,high,-0.05
art-202305-0027,2023-05-30,Harga Properti Pondok Indah Tembus Rekor Baru,Kawasan Pondok Indah mencatat harga tanah tertinggi sepanjang sejarah.,Kompas.com,https://example.com/news/art-202305-0027,local,Jakarta Selatan,market,market,local,very_positive,high,0.04
art-202305-0028,2023-05-07,LRT Jabodebek Tingkatkan Konektivitas Jakarta Selatan,Pengoperasian LRT membuka akses baru ke kawasan premium di selatan Jakarta.,Bisnis Indonesia,https://example.com/news/art-202305-0028,local,Jakarta Selatan,infrastructure,infrastructure,regional,positive,high,0.045
art-202305-0029,2023-05-01,Taman Kota Seluas 5 Hektar Dibangun di Jagakarsa,"Pemda DKI membangun taman kota baru lengkap dengan jogging track, playground, dan skatepark.",Bisnis Indonesia,https://example.com/news/art-202305-0029,regional,Jakarta Selatan,development,development,local,positive,high,0.03
art-202305-0030,2023-05-27,Hotel Bintang 5 Baru di Koridor Thamrin,Jaringan hotel internasional membangun properti bintang 5 baru di Jalan Thamrin.,CNBC Indonesia,https://example.com/news/art-202305-0030,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202305-0031,2023-05-03,Jaringan Listrik Bawah Tanah untuk Kawasan Menteng,PLN menyelesaikan proyek kabel listrik bawah tanah di kawasan heritage Menteng.,Bisnis Indonesia,https://example.com/news/art-202305-0031,local,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
art-202305-0032,2023-05-05,Pusat Kebudayaan Nasional Baru di Kemayoran,"Kompleks kebudayaan mencakup galeri seni, auditorium, dan museum akan dibangun di Kemayoran.",Kontan,https://example.com/news/art-202305-0032,regional,Jakarta Pusat,development,development,local,positive,high,0.03
art-202305-0033,2023-05-14,Tol Tangerang-Jakarta Ruas Baru Dibuka,Pembukaan ruas tol baru mempersingkat waktu tempuh Jakarta Barat ke Tangerang.,CNBC Indonesia,https://example.com/news/art-202305-0033,local,Jakarta Barat,infrastructure,infrastructure,regional,positive,high,0.045
art-202305-0034,2023-05-23,Pasar Properti Cengkareng Tumbuh Stabil,Kawasan Cengkareng mencatat pertumbuhan transaksi properti yang konsisten.,Jakarta Post,https://example.com/news/art-202305-0034,local,Jakarta Barat,market,market,local,positive,high,0.02
art-202305-0035,2023-05-04,Banjir Rendam Kawasan Kalideres Jakarta Barat,Hujan deras mengakibatkan genangan di beberapa titik di Kalideres.,Bisnis Indonesia,https://example.com/news/art-202305-0035,regional,Jakarta Barat,disaster,disaster,local,negative,high,-0.05
art-202305-0036,2023-05-08,Pelebaran Jalan Raya Bogor Selesai Tahap Pertama,"Pelebaran Jalan Raya Bogor dari Pasar Rebo hingga Ciracas rampung, lalu lintas membaik.",Kompas.com,https://example.com/news/art-202305-0036,local,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202305-0037,2023-05-11,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Kompas.com,https://example.com/news/art-202305-0037,regional,Jakarta Timur,development,development,local,positive,high,0.03
art-202305-0038,2023-05-24,Modernisasi Pelabuhan Tanjung Priok Rampung,Peningkatan kapasitas pelabuhan diharapkan mendorong ekonomi Jakarta Utara.,Bisnis Indonesia,https://example.com/news/art-202305-0038,local,Jakarta Utara,infrastructure,infrastructure,local,positive,high,0.03
art-202306-0039,2023-06-16,Tanda Stabilisasi Pasar Mulai Terlihat,Indikator pasar properti menunjukkan koreksi mulai mereda di kuartal kedua 2023.,Bisnis Indonesia,https://example.com/news/art-202306-0039,national,,economy,market,national,positive,high,0.05
art-202306-0040,2023-06-16,Pengembang Optimis Pasar Pulih Semester Kedua,Asosiasi pengembang memperkirakan pemulihan bertahap mulai paruh kedua 2023.,Kompas.com,https://example.com/news/art-202306-0040,national,,market,market,national,positive,high,0.05
art-202306-0041,2023-06-15,Jalan Layang Antasari-Blok M Resmi Beroperasi,Jalan layang baru memangkas waktu tempuh Antasari ke Blok M dari 45 menjadi 15 menit.,Detik Finance,https://example.com/news/art-202306-0041,local,Jakarta Selatan,infrastructure,infrastructure,local,very_positive,high,0.06
art-202306-0042,2023-06-11,Terowongan Bawah Tanah Tanah Abang-Sudirman Disetujui,Proyek terowongan kendaraan akan menghubungkan Tanah Abang langsung ke Sudirman tanpa macet.,Detik Finance,https://example.com/news/art-202306-0042,local,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
art-202306-0043,2023-06-09,RS Ibu dan Anak Baru Beroperasi di Kebon Jeruk,Rumah sakit spesialis ibu dan anak dengan 150 bed resmi beroperasi di Kebon Jeruk.,Detik Finance,https://example.com/news/art-202306-0043,local,Jakarta Barat,development,infrastructure,local,positive,high,0.03
art-202306-0044,2023-06-18,Gardu Induk PLN Baru untuk Jakarta Timur Beroperasi,Gardu induk 150 kV baru meningkatkan keandalan pasokan listrik untuk 200.000 pelanggan.,Kompas.com,https://example.com/news/art-202306-0044,local,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202306-0045,2023-06-07,Jaringan Fiber Optik 5G Diperluas ke Seluruh Jakarta Utara,Operator telekomunikasi menyelesaikan pemasangan jaringan 5G untuk kawasan Jakarta Utara.,Bisnis Indonesia,https://example.com/news/art-202306-0045,local,Jakarta Utara,infrastructure,infrastructure,regional,positive,high,0.045
art-202307-0046,2023-07-26,Jalan Layang Antasari-Blok M Resmi Beroperasi,Jalan layang baru memangkas waktu tempuh Antasari ke Blok M dari 45 menjadi 15 menit.,Tribun News,https://example.com/news/art-202307-0046,local,Jakarta Selatan,infrastructure,infrastructure,regional,very_positive,high,0.09
art-202307-0047,2023-07-16,Terowongan Bawah Tanah Tanah Abang-Sudirman Disetujui,Proyek terowongan kendaraan akan menghubungkan Tanah Abang langsung ke Sudirman tanpa macet.,Jakarta Post,https://example.com/news/art-202307-0047,local,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
art-202307-0048,2023-07-24,Hotel Bintang 5 Baru di Koridor Thamrin,Jaringan hotel internasional membangun properti bintang 5 baru di Jalan Thamrin.,Bisnis Indonesia,https://example.com/news/art-202307-0048,regional,Jakarta Pusat,development,development,local,positive,high,0.03
art-202307-0049,2023-07-06,Pengembangan Township Baru di Jakarta Barat,Proyek kota mandiri berskala besar diumumkan untuk kawasan barat Jakarta.,CNBC Indonesia,https://example.com/news/art-202307-0049,local,Jakarta Barat,development,development,regional,positive,high,0.045
art-202307-0050,2023-07-28,Stasiun KRL Baru di Kembangan Beroperasi,Stasiun commuter line baru meningkatkan aksesibilitas kawasan barat Jakarta.,Kompas.com,https://example.com/news/art-202307-0050,regional,Jakarta Barat,infrastructure,infrastructure,local,positive,high,0.03
art-202307-0051,2023-07-02,Gardu Induk PLN Baru untuk Jakarta Timur Beroperasi,Gardu induk 150 kV baru meningkatkan keandalan pasokan listrik untuk 200.000 pelanggan.,Bisnis Indonesia,https://example.com/news/art-202307-0051,local,Jakarta Timur,infrastructure,infrastructure,regional,positive,high,0.045
art-202307-0052,2023-07-22,Modernisasi Pelabuhan Tanjung Priok Rampung,Peningkatan kapasitas pelabuhan diharapkan mendorong ekonomi Jakarta Utara.,Detik Finance,https://example.com/news/art-202307-0052,local,Jakarta Utara,infrastructure,infrastructure,local,positive,high,0.03
art-202308-0053,2023-08-25,Jaringan Pipa Gas Baru untuk Kawasan Kebayoran,PGN menyelesaikan instalasi jaringan gas rumah tangga untuk 10.000 rumah di Kebayoran.,Detik Finance,https://example.com/news/art-202308-0053,local,Jakarta Selatan,infrastructure,infrastructure,local,positive,high,0.03
art-202308-0054,2023-08-07,Pusat Kebudayaan Nasional Baru di Kemayoran,"Kompleks kebudayaan mencakup galeri seni, auditorium, dan museum akan dibangun di Kemayoran.",Kompas.com,https://example.com/news/art-202308-0054,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202308-0055,2023-08-06,Pasar Properti Cengkareng Tumbuh Stabil,Kawasan Cengkareng mencatat pertumbuhan transaksi properti yang konsisten.,Detik Finance,https://example.com/news/art-202308-0055,local,Jakarta Barat,market,market,local,positive,high,0.02
art-202308-0056,2023-08-01,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Jakarta Post,https://example.com/news/art-202308-0056,local,Jakarta Timur,development,development,local,positive,high,0.03
art-202308-0057,2023-08-29,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Kompas.com,https://example.com/news/art-202308-0057,local,Jakarta Timur,development,development,local,positive,high,0.03
art-202308-0058,2023-08-20,Jalan Tol JORR Timur Selesai Diperbaiki,Perbaikan ruas JORR timur meningkatkan konektivitas Jakarta Timur.,Detik Finance,https://example.com/news/art-202308-0058,regional,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202308-0059,2023-08-16,Jalan Tol Akses Baru ke Pelabuhan Utara Dibuka,Akses tol baru mempersingkat waktu tempuh ke kawasan pelabuhan Jakarta Utara.,Detik Finance,https://example.com/news/art-202308-0059,local,Jakarta Utara,infrastructure,infrastructure,regional,positive,high,0.045
art-202308-0060,2023-08-02,Jaringan Fiber Optik 5G Diperluas ke Seluruh Jakarta Utara,Operator telekomunikasi menyelesaikan pemasangan jaringan 5G untuk kawasan Jakarta Utara.,CNBC Indonesia,https://example.com/news/art-202308-0060,regional,Jakarta Utara,infrastructure,infrastructure,regional,positive,high,0.045
art-202309-0061,2023-09-18,Taman Kota Seluas 5 Hektar Dibangun di Jagakarsa,"Pemda DKI membangun taman kota baru lengkap dengan jogging track, playground, dan skatepark.",Kontan,https://example.com/news/art-202309-0061,local,Jakarta Selatan,development,development,local,positive,high,0.03
art-202309-0062,2023-09-18,Regulasi Zonasi Baru untuk CBD Jakarta Pusat,Pemerintah provinsi mengumumkan pembaruan zonasi untuk kawasan bisnis pusat Jakarta.,Tribun News,https://example.com/news/art-202309-0062,local,Jakarta Pusat,policy,policy,regional,positive,high,0.037500000000000006
art-202309-0063,2023-09-02,Regulasi Zonasi Baru untuk CBD Jakarta Pusat,Pemerintah provinsi mengumumkan pembaruan zonasi untuk kawasan bisnis pusat Jakarta.,Detik Finance,https://example.com/news/art-202309-0063,local,Jakarta Pusat,policy,policy,regional,positive,high,0.037500000000000006
art-202309-0064,2023-09-07,Stasiun MRT Baru di Glodok Mulai Konstruksi,Pembangunan stasiun MRT fase 2 di Glodok meningkatkan konektivitas Kota Tua.,CNBC Indonesia,https://example.com/news/art-202309-0064,regional,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
art-202309-0065,2023-09-14,RS Ibu dan Anak Baru Beroperasi di Kebon Jeruk,Rumah sakit spesialis ibu dan anak dengan 150 bed resmi beroperasi di Kebon Jeruk.,CNBC Indonesia,https://example.com/news/art-202309-0065,local,Jakarta Barat,development,infrastructure,local,positive,high,0.03
art-202309-0066,2023-09-06,Pasar Properti Cengkareng Tumbuh Stabil,Kawasan Cengkareng mencatat pertumbuhan transaksi properti yang konsisten.,Kompas.com,https://example.com/news/art-202309-0066,local,Jakarta Barat,market,market,local,positive,high,0.02
art-202309-0067,2023-09-30,Klaster Perumahan Baru Sasar Milenial di Cakung,Pengembang luncurkan 500 unit rumah terjangkau khusus untuk pembeli milenial di Cakung.,Detik Finance,https://example.com/news/art-202309-0067,local,Jakarta Timur,development,development,local,positive,high,0.03
art-202309-0068,2023-09-04,Jaringan Fiber Optik 5G Diperluas ke Seluruh Jakarta Utara,Operator telekomunikasi menyelesaikan pemasangan jaringan 5G untuk kawasan Jakarta Utara.,Kontan,https://example.com/news/art-202309-0068,local,Jakarta Utara,infrastructure,infrastructure,regional,positive,high,0.045
art-202309-0069,2023-09-30,Mall Premium Baru Dibuka di PIK Avenue,Pusat perbelanjaan premium baru dengan lebih dari 200 tenant resmi beroperasi di PIK Avenue.,Kompas.com,https://example.com/news/art-202309-0069,local,Jakarta Utara,development,development,local,positive,high,0.03
art-202309-0070,2023-09-09,Perkembangan Ibu Kota Nusantara (IKN),Progres pembangunan ibu kota baru Nusantara di Kalimantan Timur dilaporkan.,Detik Finance,https://example.com/news/art-202309-0070,national,,economy,development,national,positive,high,0.075
art-202310-0071,2023-10-27,Ruang Terbuka Hijau Jakarta Selatan Bertambah,Pemkot DKI Jakarta meresmikan taman kota baru di kawasan Kebayoran Lama.,Detik Finance,https://example.com/news/art-202310-0071,local,Jakarta Selatan,environment,environment,local,positive,high,0.02
art-202310-0072,2023-10-09,Moratorium Pembangunan Hotel di Kawasan Thamrin,Kebijakan pembatasan pembangunan hotel baru di koridor Thamrin-Sudirman berlaku efektif.,Tribun News,https://example.com/news/art-202310-0072,local,Jakarta Pusat,policy,policy,local,negative,high,-0.025
art-202310-0073,2023-10-17,Pedestrianisasi Jalan Sabang Selesai,Proyek pedestrianisasi kawasan kuliner Sabang meningkatkan kualitas ruang publik Jakarta Pusat.,Detik Finance,https://example.com/news/art-202310-0073,regional,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
art-202310-0074,2023-10-01,Data Center Hyperscale Dibangun di Kawasan Industri Barat,Perusahaan teknologi global membangun data center berskala besar di Jakarta Barat.,Kontan,https://example.com/news/art-202310-0074,local,Jakarta Barat,development,development,local,positive,high,0.03
art-202310-0075,2023-10-14,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Kompas.com,https://example.com/news/art-202310-0075,local,Jakarta Timur,development,development,local,positive,high,0.03
art-202310-0076,2023-10-28,Jalan Tol JORR Timur Selesai Diperbaiki,Perbaikan ruas JORR timur meningkatkan konektivitas Jakarta Timur.,Detik Finance,https://example.com/news/art-202310-0076,local,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202310-0077,2023-10-23,Klaster Perumahan Baru Sasar Milenial di Cakung,Pengembang luncurkan 500 unit rumah terjangkau khusus untuk pembeli milenial di Cakung.,Detik Finance,https://example.com/news/art-202310-0077,regional,Jakarta Timur,development,development,local,positive,high,0.03
art-202310-0078,2023-10-24,Sekolah Internasional Baru Hadir di Pantai Indah Kapuk,Sekolah internasional berkurikulum Cambridge akan dibuka untuk melayani keluarga di PIK dan sekitarnya.,Detik Finance,https://example.com/news/art-202310-0078,local,Jakarta Utara,development,development,local,positive,high,0.03
art-202310-0079,2023-10-10,Jakarta Targetkan Net Zero Emission Bangunan 2050,Pemda DKI Jakarta menetapkan roadmap menuju bangunan nol emisi karbon pada 2050.,Kompas.com,https://example.com/news/art-202310-0079,national,,environment,environment,local,positive,high,0.02
art-202311-0080,2023-11-15,Proyek Residensial Premium Baru di Kebayoran,Pengembang luncurkan hunian mewah berkonsep smart home di kawasan Kebayoran Baru.,Bisnis Indonesia,https://example.com/news/art-202311-0080,local,Jakarta Selatan,development,development,local,positive,high,0.03
art-202311-0081,2023-11-03,Pusat Kebudayaan Nasional Baru di Kemayoran,"Kompleks kebudayaan mencakup galeri seni, auditorium, dan museum akan dibangun di Kemayoran.",Kompas.com,https://example.com/news/art-202311-0081,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202311-0082,2023-11-25,Revitalisasi Pasar Tanah Abang Dimulai,Proyek modernisasi pasar terbesar di Asia Tenggara resmi dimulai.,Kompas.com,https://example.com/news/art-202311-0082,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202311-0083,2023-11-16,Hotel Bintang 5 Baru di Koridor Thamrin,Jaringan hotel internasional membangun properti bintang 5 baru di Jalan Thamrin.,Kompas.com,https://example.com/news/art-202311-0083,regional,Jakarta Pusat,development,development,local,positive,high,0.03
art-202311-0084,2023-11-07,Banjir Rendam Kawasan Kalideres Jakarta Barat,Hujan deras mengakibatkan genangan di beberapa titik di Kalideres.,Jakarta Post,https://example.com/news/art-202311-0084,local,Jakarta Barat,disaster,disaster,local,negative,high,-0.05
art-202311-0085,2023-11-23,Harga Lahan Industri Jakarta Barat Naik,Permintaan lahan industri dan logistik di koridor barat Jakarta meningkat tajam.,Kompas.com,https://example.com/news/art-202311-0085,local,Jakarta Barat,market,market,local,positive,high,0.02
art-202311-0086,2023-11-06,Harga Lahan Industri Jakarta Barat Naik,Permintaan lahan industri dan logistik di koridor barat Jakarta meningkat tajam.,Detik Finance,https://example.com/news/art-202311-0086,regional,Jakarta Barat,market,market,local,positive,high,0.02
art-202311-0087,2023-11-15,Permintaan Rumah Terjangkau di Jakarta Timur Melonjak,Pembeli rumah pertama semakin memilih kawasan timur Jakarta karena harga yang lebih terjangkau.,CNBC Indonesia,https://example.com/news/art-202311-0087,local,Jakarta Timur,market,market,local,positive,high,0.02
art-202311-0088,2023-11-11,Flyover Cipinang-Jatinegara Mulai Dibangun,Flyover baru akan mengurai kemacetan di persimpangan padat Cipinang-Jatinegara.,Bisnis Indonesia,https://example.com/news/art-202311-0088,local,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202311-0089,2023-11-18,RS Internasional Baru Dibangun di Kelapa Gading,Rumah sakit berstandar internasional dengan 300 bed akan dibangun di kawasan Kelapa Gading.,CNBC Indonesia,https://example.com/news/art-202311-0089,local,Jakarta Utara,development,development,local,positive,high,0.03
art-202312-0090,2023-12-09,Permintaan Ekspat Dorong Harga Sewa di Senayan,Komunitas ekspatriat yang berkembang mendorong kenaikan harga sewa di kawasan premium Jakarta Selatan.,CNBC Indonesia,https://example.com/news/art-202312-0090,local,Jakarta Selatan,market,market,local,positive,high,0.02
art-202312-0091,2023-12-03,Taman Kota Seluas 5 Hektar Dibangun di Jagakarsa,"Pemda DKI membangun taman kota baru lengkap dengan jogging track, playground, dan skatepark.",Detik Finance,https://example.com/news/art-202312-0091,local,Jakarta Selatan,development,development,local,positive,high,0.03
art-202312-0092,2023-12-08,Revitalisasi Pasar Tanah Abang Dimulai,Proyek modernisasi pasar terbesar di Asia Tenggara resmi dimulai.,Kompas.com,https://example.com/news/art-202312-0092,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202312-0093,2023-12-15,Superblok Baru Direncanakan di Dekat Monas,Proyek pengembangan mixed-use berskala besar diumumkan untuk area sekitar Monas.,Detik Finance,https://example.com/news/art-202312-0093,regional,Jakarta Pusat,development,development,local,positive,high,0.03
art-202312-0094,2023-12-31,Green Office Park Baru di Puri Indah,Kawasan perkantoran berkonsep hijau akan dibangun di koridor Puri Indah.,Kontan,https://example.com/news/art-202312-0094,local,Jakarta Barat,development,development,local,positive,high,0.03
art-202312-0095,2023-12-28,Waduk Retensi Baru di Cipinang Selesai Dibangun,Waduk baru berkapasitas 1 juta meter kubik mengurangi risiko banjir di Jakarta Timur.,Kontan,https://example.com/news/art-202312-0095,local,Jakarta Timur,infrastructure,infrastructure,local,positive,high,0.03
art-202312-0096,2023-12-26,Klaster Perumahan Baru Sasar Milenial di Cakung,Pengembang luncurkan 500 unit rumah terjangkau khusus untuk pembeli milenial di Cakung.,Kontan,https://example.com/news/art-202312-0096,local,Jakarta Timur,development,development,local,positive,high,0.03
art-202312-0097,2023-12-22,Kualitas Air Bersih di Jakarta Utara Memburuk,Pencemaran air tanah di wilayah pesisir utara semakin meningkat akibat intrusi air laut.,Detik Finance,https://example.com/news/art-202312-0097,local,Jakarta Utara,environment,environment,local,negative,high,-0.02
art-202312-0098,2023-12-18,PDB Indonesia Tumbuh di Atas Ekspektasi,Pertumbuhan ekonomi Indonesia melampaui proyeksi analis untuk kuartal ini.,Tribun News,https://example.com/news/art-202312-0098,national,,economy,economy,national,very_positive,high,0.1
art-202401-0099,2024-01-13,Banjir Besar Jakarta Utara Terjang Ribuan Rumah,Banjir terparah dalam 5 tahun melanda kawasan pesisir Jakarta Utara.,Kompas.com,https://example.com/news/art-202401-0099,national,,disaster,disaster,local,very_negative,high,-0.1
art-202401-0100,2024-01-22,Kerugian Banjir Jakarta Utara Capai Triliunan Rupiah,Kerugian material akibat banjir diperkirakan mencapai Rp 2 triliun.,Bisnis Indonesia,https://example.com/news/art-202401-0100,national,,disaster,disaster,regional,very_negative,high,-0.15000000000000002
art-202401-0101,2024-01-21,Ribuan Warga Jakarta Utara Mengungsi,Evakuasi besar-besaran dilakukan di kawasan Penjaringan dan Cilincing.,Kompas.com,https://example.com/news/art-202401-0101,national,,disaster,disaster,local,negative,high,-0.05
art-202401-0102,2024-01-07,Jalan Layang Antasari-Blok M Resmi Beroperasi,Jalan layang baru memangkas waktu tempuh Antasari ke Blok M dari 45 menjadi 15 menit.,Detik Finance,https://example.com/news/art-202401-0102,local,Jakarta Selatan,infrastructure,infrastructure,local,very_positive,high,0.06
art-202401-0103,2024-01-09,Smart Traffic System Dipasang di 50 Persimpangan Pusat,Sistem lampu lalu lintas cerdas berbasis AI mengurangi kemacetan 25% di Jakarta Pusat.,CNBC Indonesia,https://example.com/news/art-202401-0103,local,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
