article_id,published_date,title,summary,source,url,scope,region_id,category,sentiment_raw,impact_magnitude,weighted_sentiment
art-202304-0021,2023-04-03,Data Center Hyperscale Dibangun di Kawasan Industri Barat,Perusahaan teknologi global membangun data center berskala besar di Jakarta Barat.,Bisnis Indonesia,https://example.com/news/art-202304-0021,local,Jakarta Barat,development,0.0188,0.1198,0.0022
art-202304-0022,2023-04-22,SPAM Baru Sediakan Air Bersih untuk 20.000 KK di Kalideres,Sistem penyediaan air minum baru menjangkau ribuan rumah tangga di Kalideres.,Kompas.com,https://example.com/news/art-202304-0022,local,Jakarta Barat,infrastructure,0.0444,0.0653,0.0029
art-202304-0023,2023-04-18,Waduk Retensi Baru di Cipinang Selesai Dibangun,Waduk baru berkapasitas 1 juta meter kubik mengurangi risiko banjir di Jakarta Timur.,Detik Finance,https://example.com/news/art-202304-0023,local,Jakarta Timur,infrastructure,0.0338,0.0968,0.0033
art-202304-0024,2023-04-25,Sistem Drainase Baru untuk Kawasan Pesisir Utara,Proyek perbaikan drainase senilai Rp 500 miliar dimulai untuk mengatasi banjir tahunan.,Kontan,https://example.com/news/art-202304-0024,local,Jakarta Utara,infrastructure,0.0146,0.1385,0.002
art-202305-0025,2023-05-14,Volume Transaksi Properti Turun 15% Tahunan,Data BPS menunjukkan penurunan volume transaksi properti dibandingkan tahun lalu.,Kompas.com,https://example.com/news/art-202305-0025,national,,market,-0.7,0.8,-0.56
art-202305-0026,2023-05-01,Daya Beli Masyarakat untuk Properti Menurun,Survei menunjukkan penurunan kemampuan masyarakat membeli rumah.,Kompas.com,https://example.com/news/art-202305-0026,national,,economy,-0.65,0.75,-0.4875
art-202305-0027,2023-05-30,Harga Properti Pondok Indah Tembus Rekor Baru,Kawasan Pondok Indah mencatat harga tanah tertinggi sepanjang sejarah.,Kompas.com,https://example.com/news/art-202305-0027,local,Jakarta Selatan,market,0.0205,0.085,0.0017
art-202305-0028,2023-05-07,LRT Jabodebek Tingkatkan Konektivitas Jakarta Selatan,Pengoperasian LRT membuka akses baru ke kawasan premium di selatan Jakarta.,Bisnis Indonesia,https://example.com/news/art-202305-0028,local,Jakarta Selatan,infrastructure,0.0475,0.1342,0.0064
art-202305-0029,2023-05-01,Taman Kota Seluas 5 Hektar Dibangun di Jagakarsa,"Pemda DKI membangun taman kota baru lengkap dengan jogging track, playground, dan skatepark.",Bisnis Indonesia,https://example.com/news/art-202305-0029,regional,Jakarta Selatan,development,0.0366,0.1045,0.0038
art-202305-0030,2023-05-27,Hotel Bintang 5 Baru di Koridor Thamrin,Jaringan hotel internasional membangun properti bintang 5 baru di Jalan Thamrin.,CNBC Indonesia,https://example.com/news/art-202305-0030,local,Jakarta Pusat,development,0.011,0.115,0.0013
art-202305-0031,2023-05-03,Jaringan Listrik Bawah Tanah untuk Kawasan Menteng,PLN menyelesaikan proyek kabel listrik bawah tanah di kawasan heritage Menteng.,Bisnis Indonesia,https://example.com/news/art-202305-0031,local,Jakarta Pusat,infrastructure,0.0198,0.0741,0.0015
art-202305-0032,2023-05-05,Pusat Kebudayaan Nasional Baru di Kemayoran,"Kompleks kebudayaan mencakup galeri seni, auditorium, dan museum akan dibangun di Kemayoran.",Kontan,https://example.com/news/art-202305-0032,regional,Jakarta Pusat,development,0.0179,0.1032,0.0018
art-202305-0033,2023-05-14,Tol Tangerang-Jakarta Ruas Baru Dibuka,Pembukaan ruas tol baru mempersingkat waktu tempuh Jakarta Barat ke Tangerang.,CNBC Indonesia,https://example.com/news/art-202305-0033,local,Jakarta Barat,infrastructure,0.033,0.0765,0.0025
art-202305-0034,2023-05-23,Pasar Properti Cengkareng Tumbuh Stabil,Kawasan Cengkareng mencatat pertumbuhan transaksi properti yang konsisten.,Jakarta Post,https://example.com/news/art-202305-0034,local,Jakarta Barat,market,0.0289,0.1029,0.003
art-202305-0035,2023-05-04,Banjir Rendam Kawasan Kalideres Jakarta Barat,Hujan deras mengakibatkan genangan di beberapa titik di Kalideres.,Bisnis Indonesia,https://example.com/news/art-202305-0035,regional,Jakarta Barat,disaster,-0.0385,0.0938,-0.0036
art-202305-0036,2023-05-08,Pelebaran Jalan Raya Bogor Selesai Tahap Pertama,"Pelebaran Jalan Raya Bogor dari Pasar Rebo hingga Ciracas rampung, lalu lintas membaik.",Kompas.com,https://example.com/news/art-202305-0036,local,Jakarta Timur,infrastructure,0.0235,0.1088,0.0026
art-202305-0037,2023-05-11,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Kompas.com,https://example.com/news/art-202305-0037,regional,Jakarta Timur,development,0.0174,0.0547,0.0009
art-202305-0038,2023-05-24,Modernisasi Pelabuhan Tanjung Priok Rampung,Peningkatan kapasitas pelabuhan diharapkan mendorong ekonomi Jakarta Utara.,Bisnis Indonesia,https://example.com/news/art-202305-0038,local,Jakarta Utara,infrastructure,0.0211,0.0985,0.0021
art-202306-0039,2023-06-16,Tanda Stabilisasi Pasar Mulai Terlihat,Indikator pasar properti menunjukkan koreksi mulai mereda di kuartal kedua 2023.,Bisnis Indonesia,https://example.com/news/art-202306-0039,national,,economy,-0.4,0.7,-0.28
art-202306-0040,2023-06-16,Pengembang Optimis Pasar Pulih Semester Kedua,Asosiasi pengembang memperkirakan pemulihan bertahap mulai paruh kedua 2023.,Kompas.com,https://example.com/news/art-202306-0040,national,,market,-0.3,0.65,-0.195
art-202306-0041,2023-06-15,Jalan Layang Antasari-Blok M Resmi Beroperasi,Jalan layang baru memangkas waktu tempuh Antasari ke Blok M dari 45 menjadi 15 menit.,Detik Finance,https://example.com/news/art-202306-0041,local,Jakarta Selatan,infrastructure,0.0204,0.0931,0.0019
art-202306-0042,2023-06-11,Terowongan Bawah Tanah Tanah Abang-Sudirman Disetujui,Proyek terowongan kendaraan akan menghubungkan Tanah Abang langsung ke Sudirman tanpa macet.,Detik Finance,https://example.com/news/art-202306-0042,local,Jakarta Pusat,infrastructure,0.0743,0.0598,0.0044
art-202306-0043,2023-06-09,RS Ibu dan Anak Baru Beroperasi di Kebon Jeruk,Rumah sakit spesialis ibu dan anak dengan 150 bed resmi beroperasi di Kebon Jeruk.,Detik Finance,https://example.com/news/art-202306-0043,local,Jakarta Barat,development,0.021,0.0814,0.0017
art-202306-0044,2023-06-18,Gardu Induk PLN Baru untuk Jakarta Timur Beroperasi,Gardu induk 150 kV baru meningkatkan keandalan pasokan listrik untuk 200.000 pelanggan.,Kompas.com,https://example.com/news/art-202306-0044,local,Jakarta Timur,infrastructure,0.0485,0.105,0.0051
art-202306-0045,2023-06-07,Jaringan Fiber Optik 5G Diperluas ke Seluruh Jakarta Utara,Operator telekomunikasi menyelesaikan pemasangan jaringan 5G untuk kawasan Jakarta Utara.,Bisnis Indonesia,https://example.com/news/art-202306-0045,local,Jakarta Utara,infrastructure,0.0476,0.0666,0.0032
art-202307-0046,2023-07-26,Jalan Layang Antasari-Blok M Resmi Beroperasi,Jalan layang baru memangkas waktu tempuh Antasari ke Blok M dari 45 menjadi 15 menit.,Tribun News,https://example.com/news/art-202307-0046,local,Jakarta Selatan,infrastructure,0.018,0.089,0.0016
art-202307-0047,2023-07-16,Terowongan Bawah Tanah Tanah Abang-Sudirman Disetujui,Proyek terowongan kendaraan akan menghubungkan Tanah Abang langsung ke Sudirman tanpa macet.,Jakarta Post,https://example.com/news/art-202307-0047,local,Jakarta Pusat,infrastructure,0.0618,0.1283,0.0079
art-202307-0048,2023-07-24,Hotel Bintang 5 Baru di Koridor Thamrin,Jaringan hotel internasional membangun properti bintang 5 baru di Jalan Thamrin.,Bisnis Indonesia,https://example.com/news/art-202307-0048,regional,Jakarta Pusat,development,0.0577,0.0905,0.0052
art-202307-0049,2023-07-06,Pengembangan Township Baru di Jakarta Barat,Proyek kota mandiri berskala besar diumumkan untuk kawasan barat Jakarta.,CNBC Indonesia,https://example.com/news/art-202307-0049,local,Jakarta Barat,development,0.0412,0.0852,0.0035
art-202307-0050,2023-07-28,Stasiun KRL Baru di Kembangan Beroperasi,Stasiun commuter line baru meningkatkan aksesibilitas kawasan barat Jakarta.,Kompas.com,https://example.com/news/art-202307-0050,regional,Jakarta Barat,infrastructure,0.053,0.0569,0.003
art-202307-0051,2023-07-02,Gardu Induk PLN Baru untuk Jakarta Timur Beroperasi,Gardu induk 150 kV baru meningkatkan keandalan pasokan listrik untuk 200.000 pelanggan.,Bisnis Indonesia,https://example.com/news/art-202307-0051,local,Jakarta Timur,infrastructure,0.0555,0.107,0.0059
art-202307-0052,2023-07-22,Modernisasi Pelabuhan Tanjung Priok Rampung,Peningkatan kapasitas pelabuhan diharapkan mendorong ekonomi Jakarta Utara.,Detik Finance,https://example.com/news/art-202307-0052,local,Jakarta Utara,infrastructure,0.0408,0.0816,0.0033
art-202308-0053,2023-08-25,Jaringan Pipa Gas Baru untuk Kawasan Kebayoran,PGN menyelesaikan instalasi jaringan gas rumah tangga untuk 10.000 rumah di Kebayoran.,Detik Finance,https://example.com/news/art-202308-0053,local,Jakarta Selatan,infrastructure,0.0482,0.08,0.0039
art-202308-0054,2023-08-07,Pusat Kebudayaan Nasional Baru di Kemayoran,"Kompleks kebudayaan mencakup galeri seni, auditorium, dan museum akan dibangun di Kemayoran.",Kompas.com,https://example.com/news/art-202308-0054,local,Jakarta Pusat,development,0.0625,0.1197,0.0075
art-202308-0055,2023-08-06,Pasar Properti Cengkareng Tumbuh Stabil,Kawasan Cengkareng mencatat pertumbuhan transaksi properti yang konsisten.,Detik Finance,https://example.com/news/art-202308-0055,local,Jakarta Barat,market,0.0373,0.1115,0.0042
art-202308-0056,2023-08-01,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Jakarta Post,https://example.com/news/art-202308-0056,local,Jakarta Timur,development,0.0459,0.1191,0.0055
art-202308-0057,2023-08-29,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Kompas.com,https://example.com/news/art-202308-0057,local,Jakarta Timur,development,0.0436,0.1152,0.005
art-202308-0058,2023-08-20,Jalan Tol JORR Timur Selesai Diperbaiki,Perbaikan ruas JORR timur meningkatkan konektivitas Jakarta Timur.,Detik Finance,https://example.com/news/art-202308-0058,regional,Jakarta Timur,infrastructure,0.025,0.1053,0.0026
art-202308-0059,2023-08-16,Jalan Tol Akses Baru ke Pelabuhan Utara Dibuka,Akses tol baru mempersingkat waktu tempuh ke kawasan pelabuhan Jakarta Utara.,Detik Finance,https://example.com/news/art-202308-0059,local,Jakarta Utara,infrastructure,0.0301,0.1134,0.0034
art-202308-0060,2023-08-02,Jaringan Fiber Optik 5G Diperluas ke Seluruh Jakarta Utara,Operator telekomunikasi menyelesaikan pemasangan jaringan 5G untuk kawasan Jakarta Utara.,CNBC Indonesia,https://example.com/news/art-202308-0060,regional,Jakarta Utara,infrastructure,0.023,0.1134,0.0026
art-202309-0061,2023-09-18,Taman Kota Seluas 5 Hektar Dibangun di Jagakarsa,"Pemda DKI membangun taman kota baru lengkap dengan jogging track, playground, dan skatepark.",Kontan,https://example.com/news/art-202309-0061,local,Jakarta Selatan,development,0.0472,0.0683,0.0032
art-202309-0062,2023-09-18,Regulasi Zonasi Baru untuk CBD Jakarta Pusat,Pemerintah provinsi mengumumkan pembaruan zonasi untuk kawasan bisnis pusat Jakarta.,Tribun News,https://example.com/news/art-202309-0062,local,Jakarta Pusat,policy,-0.0219,0.1383,-0.003
art-202309-0063,2023-09-02,Regulasi Zonasi Baru untuk CBD Jakarta Pusat,Pemerintah provinsi mengumumkan pembaruan zonasi untuk kawasan bisnis pusat Jakarta.,Detik Finance,https://example.com/news/art-202309-0063,local,Jakarta Pusat,policy,0.0017,0.1053,0.0002
art-202309-0064,2023-09-07,Stasiun MRT Baru di Glodok Mulai Konstruksi,Pembangunan stasiun MRT fase 2 di Glodok meningkatkan konektivitas Kota Tua.,CNBC Indonesia,https://example.com/news/art-202309-0064,regional,Jakarta Pusat,infrastructure,0.0688,0.1361,0.0094
art-202309-0065,2023-09-14,RS Ibu dan Anak Baru Beroperasi di Kebon Jeruk,Rumah sakit spesialis ibu dan anak dengan 150 bed resmi beroperasi di Kebon Jeruk.,CNBC Indonesia,https://example.com/news/art-202309-0065,local,Jakarta Barat,development,0.0253,0.1046,0.0026
art-202309-0066,2023-09-06,Pasar Properti Cengkareng Tumbuh Stabil,Kawasan Cengkareng mencatat pertumbuhan transaksi properti yang konsisten.,Kompas.com,https://example.com/news/art-202309-0066,local,Jakarta Barat,market,0.0337,0.1148,0.0039
art-202309-0067,2023-09-30,Klaster Perumahan Baru Sasar Milenial di Cakung,Pengembang luncurkan 500 unit rumah terjangkau khusus untuk pembeli milenial di Cakung.,Detik Finance,https://example.com/news/art-202309-0067,local,Jakarta Timur,development,0.0232,0.1016,0.0024
art-202309-0068,2023-09-04,Jaringan Fiber Optik 5G Diperluas ke Seluruh Jakarta Utara,Operator telekomunikasi menyelesaikan pemasangan jaringan 5G untuk kawasan Jakarta Utara.,Kontan,https://example.com/news/art-202309-0068,local,Jakarta Utara,infrastructure,0.0536,0.0767,0.0041
art-202309-0069,2023-09-30,Mall Premium Baru Dibuka di PIK Avenue,Pusat perbelanjaan premium baru dengan lebih dari 200 tenant resmi beroperasi di PIK Avenue.,Kompas.com,https://example.com/news/art-202309-0069,local,Jakarta Utara,development,0.0228,0.0829,0.0019
art-202309-0070,2023-09-09,Perkembangan Ibu Kota Nusantara (IKN),Progres pembangunan ibu kota baru Nusantara di Kalimantan Timur dilaporkan.,Detik Finance,https://example.com/news/art-202309-0070,national,,economy,-0.0058,0.0962,-0.0006
art-202310-0071,2023-10-27,Ruang Terbuka Hijau Jakarta Selatan Bertambah,Pemkot DKI Jakarta meresmikan taman kota baru di kawasan Kebayoran Lama.,Detik Finance,https://example.com/news/art-202310-0071,local,Jakarta Selatan,environment,0.0336,0.0949,0.0032
art-202310-0072,2023-10-09,Moratorium Pembangunan Hotel di Kawasan Thamrin,Kebijakan pembatasan pembangunan hotel baru di koridor Thamrin-Sudirman berlaku efektif.,Tribun News,https://example.com/news/art-202310-0072,local,Jakarta Pusat,policy,0.0402,0.0679,0.0027
art-202310-0073,2023-10-17,Pedestrianisasi Jalan Sabang Selesai,Proyek pedestrianisasi kawasan kuliner Sabang meningkatkan kualitas ruang publik Jakarta Pusat.,Detik Finance,https://example.com/news/art-202310-0073,regional,Jakarta Pusat,infrastructure,0.0348,0.1286,0.0045
art-202310-0074,2023-10-01,Data Center Hyperscale Dibangun di Kawasan Industri Barat,Perusahaan teknologi global membangun data center berskala besar di Jakarta Barat.,Kontan,https://example.com/news/art-202310-0074,local,Jakarta Barat,development,0.0454,0.0678,0.0031
art-202310-0075,2023-10-14,Kawasan TOD Baru di Stasiun Jatinegara,Pengembangan transit-oriented development di sekitar Stasiun Jatinegara diumumkan.,Kompas.com,https://example.com/news/art-202310-0075,local,Jakarta Timur,development,0.0589,0.1016,0.006
art-202310-0076,2023-10-28,Jalan Tol JORR Timur Selesai Diperbaiki,Perbaikan ruas JORR timur meningkatkan konektivitas Jakarta Timur.,Detik Finance,https://example.com/news/art-202310-0076,local,Jakarta Timur,infrastructure,0.0479,0.083,0.004
art-202310-0077,2023-10-23,Klaster Perumahan Baru Sasar Milenial di Cakung,Pengembang luncurkan 500 unit rumah terjangkau khusus untuk pembeli milenial di Cakung.,Detik Finance,https://example.com/news/art-202310-0077,regional,Jakarta Timur,development,0.0409,0.0967,0.004
art-202310-0078,2023-10-24,Sekolah Internasional Baru Hadir di Pantai Indah Kapuk,Sekolah internasional berkurikulum Cambridge akan dibuka untuk melayani keluarga di PIK dan sekitarnya.,Detik Finance,https://example.com/news/art-202310-0078,local,Jakarta Utara,development,0.029,0.0965,0.0028
art-202310-0079,2023-10-10,Jakarta Targetkan Net Zero Emission Bangunan 2050,Pemda DKI Jakarta menetapkan roadmap menuju bangunan nol emisi karbon pada 2050.,Kompas.com,https://example.com/news/art-202310-0079,national,,environment,-0.001,0.0884,-0.0001
art-202311-0080,2023-11-15,Proyek Residensial Premium Baru di Kebayoran,Pengembang luncurkan hunian mewah berkonsep smart home di kawasan Kebayoran Baru.,Bisnis Indonesia,https://example.com/news/art-202311-0080,local,Jakarta Selatan,development,0.0456,0.0958,0.0044
art-202311-0081,2023-11-03,Pusat Kebudayaan Nasional Baru di Kemayoran,"Kompleks kebudayaan mencakup galeri seni, auditorium, dan museum akan dibangun di Kemayoran.",Kompas.com,https://example.com/news/art-202311-0081,local,Jakarta Pusat,development,0.0587,0.1057,0.0062
art-202311-0082,2023-11-25,Revitalisasi Pasar Tanah Abang Dimulai,Proyek modernisasi pasar terbesar di Asia Tenggara resmi dimulai.,Kompas.com,https://example.com/news/art-202311-0082,local,Jakarta Pusat,development,0.0492,0.0933,0.0046
art-202311-0083,2023-11-16,Hotel Bintang 5 Baru di Koridor Thamrin,Jaringan hotel internasional membangun properti bintang 5 baru di Jalan Thamrin.,Kompas.com,https://example.com/news/art-202311-0083,regional,Jakarta Pusat,development,0.0536,0.0603,0.0032
art-202311-0084,2023-11-07,Banjir Rendam Kawasan Kalideres Jakarta Barat,Hujan deras mengakibatkan genangan di beberapa titik di Kalideres.,Jakarta Post,https://example.com/news/art-202311-0084,local,Jakarta Barat,disaster,-0.0562,0.0914,-0.0051
art-202311-0085,2023-11-23,Harga Lahan Industri Jakarta Barat Naik,Permintaan lahan industri dan logistik di koridor barat Jakarta meningkat tajam.,Kompas.com,https://example.com/news/art-202311-0085,local,Jakarta Barat,market,0.0362,0.078,0.0028
art-202311-0086,2023-11-06,Harga Lahan Industri Jakarta Barat Naik,Permintaan lahan industri dan logistik di koridor barat Jakarta meningkat tajam.,Detik Finance,https://example.com/news/art-202311-0086,regional,Jakarta Barat,market,0.0512,0.0575,0.0029
art-202311-0087,2023-11-15,Permintaan Rumah Terjangkau di Jakarta Timur Melonjak,Pembeli rumah pertama semakin memilih kawasan timur Jakarta karena harga yang lebih terjangkau.,CNBC Indonesia,https://example.com/news/art-202311-0087,local,Jakarta Timur,market,0.0238,0.0674,0.0016
art-202311-0088,2023-11-11,Flyover Cipinang-Jatinegara Mulai Dibangun,Flyover baru akan mengurai kemacetan di persimpangan padat Cipinang-Jatinegara.,Bisnis Indonesia,https://example.com/news/art-202311-0088,local,Jakarta Timur,infrastructure,0.0404,0.1031,0.0042
art-202311-0089,2023-11-18,RS Internasional Baru Dibangun di Kelapa Gading,Rumah sakit berstandar internasional dengan 300 bed akan dibangun di kawasan Kelapa Gading.,CNBC Indonesia,https://example.com/news/art-202311-0089,local,Jakarta Utara,development,0.0651,0.0853,0.0056
art-202312-0090,2023-12-09,Permintaan Ekspat Dorong Harga Sewa di Senayan,Komunitas ekspatriat yang berkembang mendorong kenaikan harga sewa di kawasan premium Jakarta Selatan.,CNBC Indonesia,https://example.com/news/art-202312-0090,local,Jakarta Selatan,market,0.0415,0.1026,0.0043
art-202312-0091,2023-12-03,Taman Kota Seluas 5 Hektar Dibangun di Jagakarsa,"Pemda DKI membangun taman kota baru lengkap dengan jogging track, playground, dan skatepark.",Detik Finance,https://example.com/news/art-202312-0091,local,Jakarta Selatan,development,0.0443,0.0939,0.0042
art-202312-0092,2023-12-08,Revitalisasi Pasar Tanah Abang Dimulai,Proyek modernisasi pasar terbesar di Asia Tenggara resmi dimulai.,Kompas.com,https://example.com/news/art-202312-0092,local,Jakarta Pusat,development,0.0352,0.0878,0.0031
art-202312-0093,2023-12-15,Superblok Baru Direncanakan di Dekat Monas,Proyek pengembangan mixed-use berskala besar diumumkan untuk area sekitar Monas.,Detik Finance,https://example.com/news/art-202312-0093,regional,Jakarta Pusat,development,0.0298,0.079,0.0024
art-202312-0094,2023-12-31,Green Office Park Baru di Puri Indah,Kawasan perkantoran berkonsep hijau akan dibangun di koridor Puri Indah.,Kontan,https://example.com/news/art-202312-0094,local,Jakarta Barat,development,0.0562,0.0773,0.0043
art-202312-0095,2023-12-28,Waduk Retensi Baru di Cipinang Selesai Dibangun,Waduk baru berkapasitas 1 juta meter kubik mengurangi risiko banjir di Jakarta Timur.,Kontan,https://example.com/news/art-202312-0095,local,Jakarta Timur,infrastructure,0.0204,0.0852,0.0017
art-202312-0096,2023-12-26,Klaster Perumahan Baru Sasar Milenial di Cakung,Pengembang luncurkan 500 unit rumah terjangkau khusus untuk pembeli milenial di Cakung.,Kontan,https://example.com/news/art-202312-0096,local,Jakarta Timur,development,0.0536,0.0877,0.0047
art-202312-0097,2023-12-22,Kualitas Air Bersih di Jakarta Utara Memburuk,Pencemaran air tanah di wilayah pesisir utara semakin meningkat akibat intrusi air laut.,Detik Finance,https://example.com/news/art-202312-0097,local,Jakarta Utara,environment,-0.0456,0.084,-0.0038
art-202312-0098,2023-12-18,PDB Indonesia Tumbuh di Atas Ekspektasi,Pertumbuhan ekonomi Indonesia melampaui proyeksi analis untuk kuartal ini.,Tribun News,https://example.com/news/art-202312-0098,national,,economy,0.0549,0.1144,0.0063
art-202401-0099,2024-01-13,Banjir Besar Jakarta Utara Terjang Ribuan Rumah,Banjir terparah dalam 5 tahun melanda kawasan pesisir Jakarta Utara.,Kompas.com,https://example.com/news/art-202401-0099,national,,disaster,-0.9,0.9,-0.81
art-202401-0100,2024-01-22,Kerugian Banjir Jakarta Utara Capai Triliunan Rupiah,Kerugian material akibat banjir diperkirakan mencapai Rp 2 triliun.,Bisnis Indonesia,https://example.com/news/art-202401-0100,national,,disaster,-0.85,0.85,-0.7225
art-202401-0101,2024-01-21,Ribuan Warga Jakarta Utara Mengungsi,Evakuasi besar-besaran dilakukan di kawasan Penjaringan dan Cilincing.,Kompas.com,https://example.com/news/art-202401-0101,national,,disaster,-0.8,0.8,-0.64
art-202401-0102,2024-01-07,Jalan Layang Antasari-Blok M Resmi Beroperasi,Jalan layang baru memangkas waktu tempuh Antasari ke Blok M dari 45 menjadi 15 menit.,Detik Finance,https://example.com/news/art-202401-0102,local,Jakarta Selatan,infrastructure,0.0507,0.055,0.0028
art-202401-0103,2024-01-09,Smart Traffic System Dipasang di 50 Persimpangan Pusat,Sistem lampu lalu lintas cerdas berbasis AI mengurangi kemacetan 25% di Jakarta Pusat.,CNBC Indonesia,https://example.com/news/art-202401-0103,local,Jakarta Pusat,infrastructure,0.0372,0.1252,0.0047
